City,Country,Gas,Unit,Week_Start,Week_End,Year,Month,Smog_Period,Mean_Value,Filled,Fill_Method,Geom_Source
Loni,India,NO2,mol/m^2,2020-05-10,2020-05-17,2020,5,PreSmog,5.932608852794067e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2020-05-17,2020-05-24,2020,5,PreSmog,7.015881359354808e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2020-05-24,2020-05-31,2020,5,PreSmog,5.814559853768366e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2020-05-31,2020-06-07,2020,5,PreSmog,5.238498308704053e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2020-06-07,2020-06-14,2020,6,PreSmog,5.1606924654977e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2020-06-14,2020-06-21,2020,6,PreSmog,5.332733464191896e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2020-06-21,2020-06-28,2020,6,PreSmog,4.464242887506468e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2020-06-28,2020-07-05,2020,6,PreSmog,5.283142086202165e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2020-07-05,2020-07-12,2020,7,PreSmog,4.837443288505272e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2020-07-12,2020-07-19,2020,7,PreSmog,4.269288115317591e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2020-07-19,2020-07-26,2020,7,PreSmog,4.039921789783039e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2020-07-26,2020-08-02,2020,7,PreSmog,4.314439790233348e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2020-08-02,2020-08-09,2020,8,PreSmog,3.783662733313757e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2020-08-09,2020-08-16,2020,8,PreSmog,2.4837778624010258e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2020-08-16,2020-08-23,2020,8,PreSmog,2.831728397126985e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2020-08-23,2020-08-30,2020,8,PreSmog,2.625113237665735e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2020-08-30,2020-09-06,2020,8,PreSmog,3.5996362286673696e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2020-09-06,2020-09-13,2020,9,PreSmog,4.457236296766938e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2020-09-13,2020-09-20,2020,9,PreSmog,4.440764798321689e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2020-09-20,2020-09-27,2020,9,PreSmog,4.817917528458101e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2020-09-27,2020-10-04,2020,9,PreSmog,4.804464830755435e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2020-10-04,2020-10-11,2020,10,PreSmog,6.194496054824586e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2020-10-11,2020-10-18,2020,10,PreSmog,6.902520062110358e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2020-10-18,2020-10-25,2020,10,PreSmog,6.274851140779627e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2020-10-25,2020-11-01,2020,10,PreSmog,6.138517985408983e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2020-11-01,2020-11-08,2020,11,DuringSmog,8.4794494673344e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2020-11-08,2020-11-15,2020,11,DuringSmog,7.785650456720468e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2020-11-15,2020-11-22,2020,11,DuringSmog,6.628386920585207e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2020-11-22,2020-11-29,2020,11,DuringSmog,0.0001007488427655,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2020-11-29,2020-12-06,2020,11,DuringSmog,0.000132025515202,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2020-12-06,2020-12-13,2020,12,DuringSmog,8.623362795004294e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2020-12-13,2020-12-20,2020,12,DuringSmog,8.433162237013842e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2020-12-20,2020-12-27,2020,12,DuringSmog,0.0001105050859658,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2020-12-27,2021-01-03,2020,12,DuringSmog,9.928130802384688e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2021-01-03,2021-01-10,2021,1,PostSmog,7.464740315974912e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2021-01-10,2021-01-17,2021,1,PostSmog,0.0001522372439156,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2021-01-17,2021-01-24,2021,1,PostSmog,9.382027974726458e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2021-01-24,2021-01-31,2021,1,PostSmog,0.0001175617976968,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2021-01-31,2021-02-07,2021,1,PostSmog,0.0002514791934543,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2021-02-07,2021-02-14,2021,2,PostSmog,0.000191924611546,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2021-02-14,2021-02-21,2021,2,PostSmog,0.0001813566409237,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2021-02-21,2021-02-28,2021,2,PostSmog,9.28466572814556e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2021-02-28,2021-03-07,2021,2,PostSmog,8.346228644551682e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2021-03-07,2021-03-14,2021,3,PostSmog,8.866354259343537e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2021-03-14,2021-03-21,2021,3,PostSmog,6.987660169604044e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2021-03-21,2021-03-28,2021,3,PostSmog,8.253213105697724e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2021-03-28,2021-04-04,2021,3,PostSmog,6.311637246808301e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2021-04-04,2021-04-11,2021,4,PreSmog,7.475222743983485e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2021-04-11,2021-04-18,2021,4,PreSmog,7.234708720472374e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2021-04-18,2021-04-25,2021,4,PreSmog,6.382661912237118e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2021-04-25,2021-05-02,2021,4,PreSmog,7.95669215224921e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2021-05-02,2021-05-09,2021,5,PreSmog,7.44740713027812e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2021-05-09,2021-05-16,2021,5,PreSmog,6.574052661472602e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2021-05-16,2021-05-23,2021,5,PreSmog,2.642547585455188e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2021-05-23,2021-05-30,2021,5,PreSmog,5.817194145839491e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2021-05-30,2021-06-06,2021,5,PreSmog,6.604681613840027e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2021-06-06,2021-06-13,2021,6,PreSmog,6.604657439851116e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2021-06-13,2021-06-20,2021,6,PreSmog,6.317501267699286e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2021-06-20,2021-06-27,2021,6,PreSmog,6.904470839589363e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2021-06-27,2021-07-04,2021,6,PreSmog,6.787377477033753e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2021-07-04,2021-07-11,2021,7,PreSmog,6.480792263060373e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2021-07-11,2021-07-18,2021,7,PreSmog,6.374779753292548e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2021-07-18,2021-07-25,2021,7,PreSmog,4.009025438991618e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2021-07-25,2021-08-01,2021,7,PreSmog,4.343811629654436e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2021-08-01,2021-08-08,2021,8,PreSmog,3.293808147979193e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2021-08-08,2021-08-15,2021,8,PreSmog,4.7735431705487726e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2021-08-15,2021-08-22,2021,8,PreSmog,4.1950654316872544e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2021-08-22,2021-08-29,2021,8,PreSmog,4.523871289434127e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2021-08-29,2021-09-05,2021,8,PreSmog,4.131225203625114e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2021-09-05,2021-09-12,2021,9,PreSmog,4.49706781589901e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2021-09-12,2021-09-19,2021,9,PreSmog,5.494608259227113e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2021-09-19,2021-09-26,2021,9,PreSmog,5.479063669746828e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2021-09-26,2021-10-03,2021,9,PreSmog,5.9356028865203e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2021-10-03,2021-10-10,2021,10,PreSmog,7.932858819301197e-05,0,observed,shapefile:India_Loni_Ghaziabad
