City,Country,date,Year,Month,MPSI,N_elevated,cond1_MPSI,cond2_Nelev,cond3_window,SmogMonth,Formula detected Smog
Dushanbe,Tajikistan,2025-07,2025,7,0.17028686009925434,1,False,False,False,0,No
Dushanbe,Tajikistan,2025-08,2025,8,0.3972121698607027,3,False,True,False,0,No
Dushanbe,Tajikistan,2025-09,2025,9,-0.01704789681741692,1,False,False,False,0,No
Dushanbe,Tajikistan,2025-10,2025,10,-0.38899669278501753,0,False,False,True,0,No
Dushanbe,Tajikistan,2025-11,2025,11,1.1050817358219802,2,True,True,True,1,Yes
Dushanbe,Tajikistan,2025-12,2025,12,0.7022059550574288,2,False,True,True,0,No
Dushanbe,Tajikistan,2026-01,2026,1,0.8934647722670274,2,False,True,True,0,No
Dushanbe,Tajikistan,2026-02,2026,2,-0.05728208386218597,0,False,False,True,0,No
Dushanbe,Tajikistan,2026-03,2026,3,-0.23097673435436333,1,False,False,False,0,No
Dushanbe,Tajikistan,2026-04,2026,4,-0.3442700195383125,0,False,False,False,0,No
Dushanbe,Tajikistan,2026-05,2026,5,-0.2923782006576848,0,False,False,False,0,No
Dushanbe,Tajikistan,2026-06,2026,6,-0.41305056543178154,0,False,False,False,0,No
Faisalabad,Pakistan,2018-07,2018,7,-0.42290642268162254,0,False,False,False,0,No
Faisalabad,Pakistan,2018-08,2018,8,-0.5407342333842267,0,False,False,False,0,No
Faisalabad,Pakistan,2018-09,2018,9,-0.5103266235604944,0,False,False,False,0,No
Faisalabad,Pakistan,2018-10,2018,10,0.14145020260491287,0,False,False,True,0,No
Faisalabad,Pakistan,2018-11,2018,11,-0.13333147395393743,1,False,False,True,0,No
Faisalabad,Pakistan,2018-12,2018,12,0.46731343663503333,2,False,True,True,0,No
Faisalabad,Pakistan,2019-01,2019,1,-0.009558155139300206,0,False,False,True,0,No
Faisalabad,Pakistan,2019-02,2019,2,-0.6464709512704478,0,False,False,True,0,No
Faisalabad,Pakistan,2019-03,2019,3,-0.6281383017619218,0,False,False,False,0,No
Faisalabad,Pakistan,2019-04,2019,4,-0.45123879040781034,0,False,False,False,0,No
Faisalabad,Pakistan,2019-05,2019,5,0.012464908062624059,0,False,False,False,0,No
Faisalabad,Pakistan,2019-06,2019,6,-0.018004350476492993,0,False,False,False,0,No
Faisalabad,Pakistan,2019-07,2019,7,-0.8308967203277214,0,False,False,False,0,No
Faisalabad,Pakistan,2019-08,2019,8,-0.9385963911997791,0,False,False,False,0,No
Faisalabad,Pakistan,2019-09,2019,9,-0.8733283162467457,0,False,False,False,0,No
Faisalabad,Pakistan,2019-10,2019,10,-0.6713381572845296,0,False,False,True,0,No
Faisalabad,Pakistan,2019-11,2019,11,-0.6913166904717728,0,False,False,True,0,No
Faisalabad,Pakistan,2019-12,2019,12,0.6271715664022969,2,False,True,True,0,No
Faisalabad,Pakistan,2020-01,2020,1,0.15019476039543114,2,False,True,True,0,No
Faisalabad,Pakistan,2020-02,2020,2,-0.08130481883120769,1,False,False,True,0,No
Faisalabad,Pakistan,2020-03,2020,3,-0.49136008115279906,1,False,False,False,0,No
Faisalabad,Pakistan,2020-04,2020,4,-0.49559756882405315,1,False,False,False,0,No
Faisalabad,Pakistan,2020-05,2020,5,-0.12718917386195835,0,False,False,False,0,No
Faisalabad,Pakistan,2020-06,2020,6,-0.517474917156511,0,False,False,False,0,No
Faisalabad,Pakistan,2020-07,2020,7,-1.0406398615965446,0,False,False,False,0,No
Faisalabad,Pakistan,2020-08,2020,8,-1.4797334681026164,0,False,False,False,0,No
Faisalabad,Pakistan,2020-09,2020,9,-0.8873468030550045,0,False,False,False,0,No
Faisalabad,Pakistan,2020-10,2020,10,-0.5742302743878362,0,False,False,True,0,No
Faisalabad,Pakistan,2020-11,2020,11,0.27812764582564986,2,False,True,True,0,No
